CensusTract,State,County,TotalPop,Men,Women,Latinx,White,Black,Native,Asian,Pacific,Unknown,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Employed,Unemployment
11001007807,District of Columbia,District of Columbia,2314,1052,1262,32,0,2249,0,12,0,21,1683,38289,13530,24328,7127,493,783,484
11001007808,District of Columbia,District of Columbia,4289,1968,2321,133,21,4130,0,9,0,-4,2553,35718,10709,20546,3611,1265,1406,1304
11001007809,District of Columbia,District of Columbia,2805,1162,1643,56,67,2620,11,17,0,34,2103,39508,12699,23366,4377,682,1286,393
11001007901,District of Columbia,District of Columbia,3951,1802,2149,115,743,2987,20,12,0,74,3086,43854,7641,28348,3005,913,1654,743
11001007903,District of Columbia,District of Columbia,1825,838,987,49,310,1371,7,33,0,55,1384,50188,7317,30401,5050,489,881,224
11001008001,District of Columbia,District of Columbia,3184,1370,1814,156,1611,1076,0,226,0,115,2607,121776,16038,61145,4834,207,2029,172
11001008002,District of Columbia,District of Columbia,3546,1777,1769,131,2096,1138,0,110,0,71,2883,110208,8592,61679,5490,255,2326,241
11001008100,District of Columbia,District of Columbia,3212,1630,1582,241,2412,376,0,93,0,90,2680,129340,16972,72554,4361,55,2253,61
11001008200,District of Columbia,District of Columbia,2929,1274,1655,211,2396,161,0,85,0,76,2542,102339,16335,76192,11742,223,1968,100
11001008301,District of Columbia,District of Columbia,2383,1114,1269,188,1749,210,0,102,0,134,2052,143787,25217,70556,8496,91,1761,83
11001008302,District of Columbia,District of Columbia,2409,1248,1161,77,1715,434,0,118,0,65,2045,120417,13732,62769,5406,157,1581,53
11001008402,District of Columbia,District of Columbia,2133,766,1367,81,1039,872,0,51,0,90,1863,78375,13862,53971,5739,224,1359,209
11001008410,District of Columbia,District of Columbia,1355,773,582,57,626,618,0,42,0,12,1058,107266,6298,49107,7207,115,866,43
11001008701,District of Columbia,District of Columbia,2311,1119,1192,143,705,1435,0,0,0,28,2042,73611,15563,44057,7905,247,1533,127
11001008702,District of Columbia,District of Columbia,1930,808,1122,176,230,1473,0,12,0,39,1575,48977,10905,33891,10949,488,952,286
11001008802,District of Columbia,District of Columbia,4598,2224,2374,46,782,3476,69,129,0,96,3729,59000,9765,32758,5703,1186,2075,768
11001008803,District of Columbia,District of Columbia,2148,1149,999,215,498,1287,9,71,0,68,1565,20313,9709,13641,3583,1113,691,505
11001008804,District of Columbia,District of Columbia,2442,1370,1072,178,198,1851,0,171,0,44,1886,39766,7099,23092,3387,737,1010,530
11001008903,District of Columbia,District of Columbia,3465,1659,1806,208,208,2914,0,87,0,48,2357,37167,13299,21998,3976,1133,1351,440
11001008904,District of Columbia,District of Columbia,3046,1401,1645,369,143,2412,0,12,0,110,2180,27031,8336,21182,2731,746,1364,591
11001009e3,District of Columbia,District of Columbia,3049,1143,1906,116,88,2826,0,9,0,10,2489,34157,10359,36229,5796,534,1106,311
11001009102,District of Columbia,District of Columbia,5288,2175,3113,259,375,4569,0,42,0,43,3482,45517,10007,23132,2906,1486,1989,820
11001009201,District of Columbia,District of Columbia,2261,1123,1138,170,776,1187,0,32,0,96,1809,52734,9360,35477,5758,475,1080,357
11001009203,District of Columbia,District of Columbia,2612,1281,1331,180,410,1894,0,0,0,128,2082,80250,39000,38175,5607,486,1428,449
11001009204,District of Columbia,District of Columbia,2785,1296,1489,432,259,2014,0,11,0,69,1913,21801,6320,18613,3053,1145,914,780
11001009301,District of Columbia,District of Columbia,3204,1552,1652,186,1121,1682,0,90,10,115,2531,77636,10717,39313,5924,253,1547,500
11001009302,District of Columbia,District of Columbia,1053,563,490,90,212,617,0,124,0,10,783,62063,7311,38878,6057,74,566,108
11001009400,District of Columbia,District of Columbia,4850,2457,2393,325,669,3720,0,63,0,73,3714,84726,13253,36298,7042,572,2053,888
11001009501,District of Columbia,District of Columbia,7088,3509,3579,1538,1630,3714,7,149,0,50,4516,42115,7388,15095,2019,1637,2854,751
11001009503,District of Columbia,District of Columbia,3347,1520,1827,97,753,2413,0,20,0,64,2592,87167,11565,38464,4054,298,1565,238
11001009504,District of Columbia,District of Columbia,3315,1453,1862,530,699,2019,20,7,0,40,2895,71678,7040,35007,5266,411,1413,520
11001009505,District of Columbia,District of Columbia,2701,1220,1481,343,151,2115,0,68,0,24,1993,57472,24179,35238,5050,262,1156,656
11001009507,District of Columbia,District of Columbia,1631,663,968,170,16,1440,0,0,0,5,1233,60170,15821,29913,4361,183,593,364
11001009508,District of Columbia,District of Columbia,3829,1575,2254,398,364,2971,0,77,0,19,2853,65046,12395,32825,4894,295,1921,425
11001009509,District of Columbia,District of Columbia,3485,1554,1931,422,98,2906,0,0,0,59,2644,60036,11464,30668,5544,150,1445,899
11001009601,District of Columbia,District of Columbia,2211,850,1361,11,4,2169,0,0,0,27,1601,32794,11333,16009,2520,957,617,732
11001009602,District of Columbia,District of Columbia,3457,1090,2367,104,7,3315,0,0,0,31,2180,23132,3813,13416,2033,1435,1205,619
11001009603,District of Columbia,District of Columbia,3014,1236,1778,136,9,2785,27,0,0,57,2421,39013,6923,30651,9582,500,1187,609
11001009604,District of Columbia,District of Columbia,2108,986,1122,46,15,2019,0,0,0,28,1772,49141,9533,28769,3723,204,979,301
11001009700,District of Columbia,District of Columbia,3371,1349,2022,13,10,3320,0,0,0,28,2316,32404,10319,17207,2899,1301,1038,1011
11001009801,District of Columbia,District of Columbia,2159,948,1211,54,22,1965,4,0,0,114,1266,24531,7450,14518,3050,866,587,676
11001009802,District of Columbia,District of Columbia,1646,750,896,7,3,1636,0,0,0,0,1070,26932,9270,16813,2987,816,480,520
11001009803,District of Columbia,District of Columbia,2733,1284,1449,0,5,2714,8,0,0,6,2011,20772,9627,16020,2894,1238,882,801
11001009804,District of Columbia,District of Columbia,2778,1274,1504,208,33,2456,0,0,0,81,1913,35819,2534,19848,2563,964,997,770
11001009807,District of Columbia,District of Columbia,3043,1318,1725,21,58,2943,0,0,0,21,2263,43657,7290,27354,9506,1022,1072,749
11001009810,District of Columbia,District of Columbia,2676,862,1814,8,0,2604,0,0,0,64,1758,29840,7960,16264,4366,1081,1056,733
11001009811,District of Columbia,District of Columbia,5018,2357,2661,10,0,4983,0,0,0,25,3449,28681,3541,13821,1636,1646,1384,1847
11001009901,District of Columbia,District of Columbia,2563,1201,1362,33,85,2409,0,0,0,36,2150,81134,7566,42555,5528,246,1178,264
11001009902,District of Columbia,District of Columbia,2780,1269,1511,3,25,2680,0,25,0,47,2290,52727,12385,28490,4591,306,1177,431
11001009903,District of Columbia,District of Columbia,1828,555,1273,24,37,1707,55,0,0,5,1334,60574,14631,26587,4601,324,899,128
11001009904,District of Columbia,District of Columbia,2462,1063,1399,118,59,2228,0,0,0,57,1638,33333,5717,20328,3956,874,906,460
11001009905,District of Columbia,District of Columbia,2795,1544,1251,148,3,2644,0,0,0,0,2062,43626,4433,22873,4334,752,1113,738
11001009906,District of Columbia,District of Columbia,1521,668,853,40,21,1436,0,5,0,19,1158,46979,8489,21972,3371,411,633,211
11001009907,District of Columbia,District of Columbia,2890,1380,1510,90,0,2789,0,0,0,11,2080,24735,7573,17049,3762,1092,861,751
11001010100,District of Columbia,District of Columbia,2624,1244,1380,323,1514,323,0,370,0,94,2012,90625,7950,76743,9722,344,1918,92
11001010200,District of Columbia,District of Columbia,2537,1069,1468,180,1058,1063,0,114,0,122,2196,100670,15948,62999,6256,175,1709,132
11001010300,District of Columbia,District of Columbia,3462,1832,1630,696,696,1925,7,73,0,65,2473,60911,9576,30413,4471,748,1421,571
11001010400,District of Columbia,District of Columbia,4474,2227,2247,125,313,3995,0,0,0,41,3188,35417,6821,19384,3208,1400,1604,738
11001010500,District of Columbia,District of Columbia,3418,1649,1769,167,1456,1518,3,188,0,86,3140,69063,17166,58591,6452,417,2306,318
11001010600,District of Columbia,District of Columbia,5783,3122,2661,428,3371,1509,46,283,17,129,5046,104688,14487,59292,4849,885,4064,359
11001010700,District of Columbia,District of Columbia,1821,810,1011,120,1293,66,0,284,0,58,1609,71458,11940,58870,9997,370,1291,64
11001010800,District of Columbia,District of Columbia,6289,2900,3389,465,4025,660,13,849,0,277,5454,35129,8877,9861,1721,2396,2321,541
11001010900,District of Columbia,District of Columbia,4275,1784,2491,64,64,4104,0,9,0,34,2793,33698,5593,12968,3347,2082,1180,1171
11001011e3,District of Columbia,District of Columbia,3552,1696,1856,224,2177,934,21,135,0,61,3231,82548,13351,69090,8637,131,2363,124
11001011100,District of Columbia,District of Columbia,5490,2550,2940,318,395,4699,0,11,0,67,4271,68750,23168,30431,3768,1136,2268,834
